Tên bài hát,Album,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
406 Calling,When The Phone Rings (Original Soundtrack),,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Váy Cưới Của Em Giống…,Váy Cưới Của Em Giống Như Bông Tuyết / 你的婚纱像雪花 (Single),,,Lý Phát Phát / 李发发,灰色幽默,Hoa Ngữ,Believe
Bích Thượng Quan / 壁上观,壁上观 / Bích Thượng Quan (Single),,,Cúc Tịnh Y / 鞠婧祎,周明聪,Hoa Ngữ,Believe
Bất Công / 偏向,Bất Công / 偏向 (Single),,,陈子晴,音融三喜,Hoa Ngữ,Believe
Kiếp Sau Vẫn Muốn Lập Gia…,Kiếp Sau Vẫn Muốn Lập Gia Đình Với Anh / 下辈子还要和你成个家 (女生版) (EP),,,Đồng Đại Vương / 彤大王,珞岩,Hoa Ngữ,Believe
Là Anh / 是你,Là Anh / 是你 (Single),,,Mộng Nhiên / 梦然,,Hoa Ngữ,Believe
Gói Gọn Hồi Ức Trao Cho…,Gói Gọn Hồi Ức Trao Cho Anh / 把回忆拼好给你 (Single),,,Tô Tinh Tiệp / 苏星婕,童子-T,Hoa Ngữ,Believe
Ngày Trước Sợ / 从前怕,Ngày Trước Sợ / 从前怕 (EP),,,Vu Đông Nhiên / 于冬然,王霁宇,Hoa Ngữ,Believe
Hoa Lạc Vô Ngân /…,Hoa Lạc Vô Ngân / 花落无痕（《白月梵星》影视剧片头曲 (EP),,,萨顶顶,萨顶顶,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Chưa Chắc / 未必,Chưa Chắc / 未必 (Single),,,Ngôn Cẩn Vũ / 言瑾羽,武鹏飞,Hoa Ngữ,Taihe Music Group
Người Ta / 他他他,Người Ta / 他他他 (EP),,,Ngải Thần / 艾辰,"张雨农, 李墨",Hoa Ngữ,Believe
Saddle of My Heart…,Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,,,Teloupe,HWANG YONG JU,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Nếu Ví Anh Như (Lofi…,若把你 (Lofi Version) / 若把你 (Lofi Version) (Single),,,"Kirsty Lưu Cẩn Duệ / Kirsty刘瑾睿, Ice Paper, Hiên Kun's",Vương Tịnh Văn,Hoa Ngữ,RouteNote
Nghe Bản Tình Ca Bi…,Nghe Bản Tình Ca Bi Thương / 听悲伤的情歌 (Single),,,Tô Tinh Tiệp / 苏星婕,不要再胖了,Hoa Ngữ,Believe
Cỏ Dại Và Hoa Dành Dành /…,Cỏ Dại Và Hoa Dành Dành / 野草与栀子花 (Single),,,Lâm Tam Thất / 林三七,曲多美,"Hoa Ngữ, Pop",Taihe Music Group
Tình Yêu Bị Làm Sao Vậy /…,Tình Yêu Bị Làm Sao Vậy / 爱怎么了 (Single),,,Trần Thôn Trưởng / 陈村长,Trần Thôn Trưởng / 陈村长,Hoa Ngữ,Believe
Hắc Nguyệt Quang (Trường…,Hắc Nguyệt Quang (Trường Nguyệt Tẫn Minh OST) / 电视剧《长月烬明》片尾曲 (Single),,,"Mao Bất Dịch / 毛不易, Trương Bích Thần / 張碧晨",谭旋,"Hoa Ngữ, Nhạc Phim",Taihe Music Group
Thôi Hãy Quên Đi / 就忘了吧,Thôi Hãy Quên Đi / 就忘了吧 (Single),,,1K,1K,Hoa Ngữ,Believe
Đêm Ở Ulan Bator /…,Đêm Ở Ulan Bator / 乌兰巴托的夜,,,Đan Chính Mẫu Tử / 丹正母子,昔日布道尔吉,Hoa Ngữ,Believe
Tứ Ngã / 赐我,Tứ Ngã / 赐我,,,Nhất Chỉ Bạch Dương / 一只白羊,施靖奕,Hoa Ngữ,Believe
Pháo Hoa / 焰火,"Chiếc Bật Lửa Và Váy Công Chúa (OST) / 電視劇《點燃我, 溫暖你》原聲帶",,,Châu Thâm / 周深,石杨,"Hoa Ngữ, Pop",Believe
Anh Sẽ Đợi / 我会等,Anh Sẽ Đợi / 我会等 (Single),,,Thừa Hoàn / 承桓,成礼,Hoa Ngữ,Believe
Hãy Làm Ánh Sáng Của…,"Hãy Làm Ánh Sáng Của Chính Mình, Không Cần Phải Quá Sáng / 做自己的光,不需要太亮 (Single)",,,孟宇,孟宇,"Hoa Ngữ, Pop",Believe
Nếu Như Nỗi Nhớ Có Sinh…,如果思念有生命 / Nếu Như Nỗi Nhớ Có Sinh Mệnh (Single),,,余火火,,Hoa Ngữ,Believe
Cậu Luôn Phải Học Cách…,Cậu Luôn Phải Học Cách Tiến Lên Phía Trước / 你总要学会往前走 (Single),,,Nhậm Hạ / 任夏,曲多美,"Hoa Ngữ, Pop",Taihe Music Group
Ly Hôn ở Cộng Hòa Ghana /…,Ly Hôn ở Cộng Hòa Ghana / 在加纳共和国离婚 (Single),,,"Đới Vũ Đồng / 戴羽彤, Thừa Hoàn / 承桓",菲道尔,Hoa Ngữ,Believe
Kịch Hay / 好戏,大概是因为你的到来,,,Vương Tĩnh Văn / 王靖雯,Vương Tĩnh Văn / 王靖雯,Hoa Ngữ,Believe
Falling You,"Chiếc Bật Lửa Và Váy Công Chúa (OST) / 電視劇《點燃我, 溫暖你》原聲帶",,,"Tăng Khả Ny / 曾可妮, Đô Trí Văn / 都智文",Đô Trí Văn / 都智文,"Hoa Ngữ, Pop",Believe
Nhất Tiếu Giang Hồ (Remix)…,Nhất Tiếu Giang Hồ (Remix) / 一笑江湖 (DJ版) (EP),,,Văn Nhân Thính Thư / 闻人听書_,祝何,Hoa Ngữ,Believe
Gió từ Cát Lâm thổi qua…,吉林的风吹过唐山吹到了河南 / Gió từ Cát Lâm thổi qua Đường Sơn tới Hà Nam (Single),,,"邵帅, 梁靖崑, 王楚钦",邵帅,Hoa Ngữ,Believe
Tam Bái Hồng Trần Lương /…,Tam Bái Hồng Trần Lương / 三拜红尘凉 (Single),,,"鱼是没有亡的魂, 比耶茄子",鱼是没有亡的魂,Hoa Ngữ,Believe
Trong Nháy Mắt / 瞬,Trong Nháy Mắt / 瞬 (Single),,,Trịnh Nhuận Trạch / 郑润泽,Trịnh Nhuận Trạch / 郑润泽,Hoa Ngữ,Believe
Đi Đến Nơi Có Gió /…,Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,,,Úc Khả Duy / 郁可唯,汪拾米,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Tình Yêu Sau Này Của…,Tình Yêu Sau Này Của Chúng Ta / 后来我们的爱 (Single),,,PRO,杨琛,Hoa Ngữ,Believe
Thứ Không Thể Quay Về…,Thứ Không Thể Quay Về Đâu Chỉ Có Thời Gian / 回不去的何止时间 (Single),,,A Mao / 吖毛,王璇,Hoa Ngữ,Believe
Xuân Bất Vãn / 春不晚…,春不晚 (相思版) / Xuân Bất Vãn (Single),,,Văn Nhân Thính Thư / 闻人听書_,郑浩,Hoa Ngữ,Believe
Quạ Kể Chuyện Tình Yêu…,Quạ Kể Chuyện Tình Yêu Cây Tô Thiết Nở Hoa / 乌鸦说情话铁树开了花 (Single),,,Nhĩ Đóa Tiện Lợi Điếm / 耳朵便利店,李易航,Hoa Ngữ,Taihe Music Group
Gió Đêm Gặp Em / 晚风遇见你,,,,Lục Kiệt awr / 陆杰awr,辰亦然,Hoa Ngữ,Taihe Music Group
Hy Vọng Cậu Được Thế Giới…,Hy Vọng Cậu Được Thế Giới Này Yêu Thương / 希望你被这个世界爱着 (Single),,,Lữ Khẩu Khẩu / 吕口口,千无寻,Hoa Ngữ,Believe
"Đừng Hoảng Sợ, Mặt Trời…","Đừng Hoảng Sợ, Mặt Trời Lặn Vẫn Còn Ánh Trăng / 不要慌太阳下山有月光 (Single)",,,GooGoo,潘成,Hoa Ngữ,Believe
Từng Câu Từng Chữ /…,Từng Câu Từng Chữ / 字字句句 (Single),,,Lư Lư Mau Im Lặng / 卢卢快闭嘴,玖零三壹,Hoa Ngữ,Believe
Sẽ Luôn Có Người / 总会有人,Sẽ Luôn Có Người 总会有人 (EP),,,Hướng Tư Tư / 向思思,友前,Hoa Ngữ,Believe
Hay Là Chúng Ta Cứ Như…,Trường Nguyệt Tẫn Minh OST / 电视剧《长月烬明》插曲 (EP),,,Hoàng Tiêu Vân / 黃霄雲,谭旋,Hoa Ngữ,Taihe Music Group
Bỉ Ngạn / 彼岸…,Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,,,"Tỉnh Lung / 井朧, Tỉnh Địch / 井迪",陳恬,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Váy Cưới Của Em Giống…,Váy Cưới Của Em Giống Như Bông Tuyết / 你的婚纱像雪花 (Single),,,Lý Phát Phát / 李发发,灰色幽默,Hoa Ngữ,Believe
Hoa Nở Sau Chia Ly /…,Hoa Nở Sau Chia Ly / 离别开出花 (Single),,,Kha Kha Kha A / 柯柯柯啊,李浩瑞,Hoa Ngữ,Believe
Cuối Cùng Thì Anh Đã Kết…,Cuối Cùng Thì Anh Đã Kết Hôn Với Người Khác / 你最后娶了别人 (Single),,,Lý Phát Phát / 李发发,秦风,Hoa Ngữ,Believe
当爱（《白月梵星》影视剧白…,《白月梵星》影视原声带,,,黄霄雲,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Call me now,Call me now (Single),,,夕臾,,"Hoa Ngữ, Pop",Believe
Tango Trên Bờ Biển / 海边探戈,Tango Trên Bờ Biển / 海边探戈 (Single),,,"Vương Hạc Đệ / 王鹤棣, 王齐铭WatchMe, 朴鲨","朴鲨, 王齐铭",Hoa Ngữ,Believe
Quá Nhớ Nhung / 太想念,太想念 (Single),,,Đậu Bao / 豆包,龙军,Hoa Ngữ,Believe
Chi Bằng Hãy Gặp Nhau…,Chi Bằng Hãy Gặp Nhau Một Lần / 不如见一面 (EP),,,Hải Lai A Mộc / 海来阿木,Hải Lai A Mộc / 海来阿木,Hoa Ngữ,Believe
Cứ Để Cơn Mưa Lớn Này…,Cứ Để Cơn Mưa Lớn Này Rơi Xuống / 就让这大雨全都落下 (Single),,,田各田各,呸呸,Hoa Ngữ,Believe
Tôi Của Hiện Tại /…,Tôi Của Hiện Tại / 现在的我 (Single),,,刘大壮 / Lưu Đại Tráng,李永江,Hoa Ngữ,Believe
Lần Khóc Tiếp Theo /…,Lần Khóc Tiếp Theo / 下一次哭 (Single),,,刘抒我,白雨煊,Hoa Ngữ,Believe
Doll,Doll (Single),,,Công Chúa Phỉ Phỉ / 菲菲公主,Công Chúa Phỉ Phỉ / 菲菲公主,Hoa Ngữ,Believe
"Sắc Xanh, Sắc Xám / 蓝色灰色","Sắc Xanh, Sắc Xám / 蓝色灰色 (Single)",,,Zkaaai,钱昱成,Hoa Ngữ,Taihe Music Group
Độ Tuổi Không Có Gì Trong…,Độ Tuổi Không Có Gì Trong Tay / 一无所有的年纪 (EP),,,Hải Lai A Mộc / 海来阿木,焦七七,Hoa Ngữ,Believe
Lồng (Cô Gái Mất Tích OST)…,Lồng (Cô Gái Mất Tích OST) / 笼 (电影《消失的她》片尾主题曲) (Single),,,Trương Bích Thần / 張碧晨,钱雷,"Hoa Ngữ, Nhạc Phim",Believe
Tuyết Đang Rơi Trong Lòng…,Tuyết Đang Rơi Trong Lòng Em / 我的心下起了雪 (EP),,,"Từ Tĩnh Văn / 徐靖雯, Vương Hân Thần / 王忻辰",不要再胖了,Hoa Ngữ,Believe
Đáp Án Của Gió Chiều /…,Đáp Án Của Gió Chiều / 晚风谜底 (Single),,,Tinh Dã / 星野,单小源,Hoa Ngữ,Taihe Music Group
相拥不放（《白月梵星》影视…,《白月梵星》影视原声带,,,Châu Thâm / 周深,萨顶顶,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Không Thể Đợi Hoa Nở /…,Không Thể Đợi Hoa Nở / 等不来花开 (Single),,,Phó Mộng Đồng / 傅梦彤,不要再胖了,Hoa Ngữ,Believe
Tìm Một Mình Nàng /…,Tìm Một Mình Nàng / 寻一个你 (电视剧《苍兰诀》温情主题曲) (Single),,,Lưu Vũ Ninh / 摩登兄弟刘宇宁,胡宸@觉生自在,"Hoa Ngữ, Nhạc Phim",Believe
Khiêm Tốn / 谦让,谦让 / Khiêm Tốn (Single),,,Vương Tĩnh Văn / 王靖雯,郑志宏,Hoa Ngữ,Believe
不要想念（《白月梵星》影视…,《白月梵星》影视原声带,,,"白鹿, 敖瑞鹏",衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Cá Lớn / 大鱼（唱片版）,Sâu Trong Thâm / 深的深,,,Châu Thâm / 周深,钱雷,Hoa Ngữ,Taihe Music Group
Kiếp Sau Vẫn Muốn Lập Gia…,Kiếp Sau Vẫn Muốn Lập Gia Đình Với Anh / 下辈子还要和你成个家 (女生版) (EP),,,Đồng Đại Vương / 彤大王,珞岩,Hoa Ngữ,Believe
Uyên Ương Hí / 鸳鸯戏 (CP版),Uyên Ương Hí / 鸳鸯戏 (CP版) (Single),,,"Nhu Mễ Nomi / 糯米Nomi, Babystop_ Sơn Trúc / Babystop_山竹","陶佳俊, 林洋",Hoa Ngữ,Believe
Không Bằng Nàng / 不敌她,Không Bằng Nàng / 不敌她 (Single),,,Chỉ Tiêm Tiếu / 指尖笑,罗旭阳,Hoa Ngữ,Believe
Chưa Chắc (Remix) /…,Chưa Chắc (Remix) / 未必（DJ铁柱版） (Single),,,Ngôn Cẩn Vũ / 言瑾羽,武鹏飞,Hoa Ngữ,Taihe Music Group
爱不悔（《白月梵星》影视剧…,《白月梵星》影视原声带,,,井胧,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Rất Muốn Mình Còn Nhỏ /…,Rất Muốn Mình Còn Nhỏ / 多想还小 (Single),,,Đậu Bao / 豆包,罗旭阳,Hoa Ngữ,Believe
月光曲（《白月梵星》影视剧…,《白月梵星》影视原声带,,,陆虎,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Thứ Em Đợi Không Phải…,Thứ Em Đợi Không Phải Tuyết / 我要的不是雪 (Single),,,Lý Phát Phát / 李发发,聂小慧,Hoa Ngữ,Believe
月下（《白月梵星》影视剧插…,《白月梵星》影视原声带,,,不才,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Nhược Thủy Tam Thiên /…,Nhược Thủy Tam Thiên / 弱水三千 (Single),,,阮言Ruany,徐一鸣,Hoa Ngữ,Believe
Đã Có Em (Gotchu) /…,Đã Có Em (Gotchu) / 已经有我啦 (Gotchu) (Single),,,"Diêu Hiểu Đường / 姚晓棠, Hắc Đường / 黑糖","Hắc Đường / 黑糖, Quang Hùng MasterD",Hoa Ngữ,Believe
Bảo Bối Đang Làm Gì Đó /…,Bảo Bối Đang Làm Gì Đó / 宝贝在干嘛 (Single),,,嘿人李逵Noisemakers,于子璐,"Hoa Ngữ, Rap / Hip Hop",Believe
Đường Về Có Gió / 归途有风,Đường Về Có Gió / 归途有风 (EP),,,Hải Lai A Mộc / 海来阿木,学松,Hoa Ngữ,Believe
Quạ Trên Thế Gian Đều…,Quạ Trên Thế Gian Đều Màu Đen / 天下的乌鸦一般黑 (Single),,,Bạn Học Tiểu Viêm / 小炎同学,罗旭阳,Hoa Ngữ,Taihe Music Group
Kiếp Này Nợ Bản Thân Quá…,Kiếp Này Nợ Bản Thân Quá Nhiều / 这辈子欠自己太多 (EP),,,Lý Phát Phát / 李发发,点点,Hoa Ngữ,Believe
Phong Diệp Thành / 枫叶城,Phong Diệp Thành / 枫叶城 (Single),,,单循,Kent王健,Hoa Ngữ,Believe
Tiếng Vọng Chiều Hôm /…,Tiếng Vọng Chiều Hôm / 暮色回响 (电影《默杀》推广曲) (Single),,,张韶涵,刘钇霄,Hoa Ngữ,Believe
Đưa Nôi / 搖籃謠…,Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,,,斯斯與帆,汪拾米,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Mất Đi Ký Ức / 失憶…,Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,,,Ngu Thư Hân / Esther Yu,陳帥,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Chớ Lại Làm Ta Khổ /…,免我蹉跎苦 / Chớ Lại Làm Ta Khổ (Single),,,Hoàng Linh / 黄龄,,Hoa Ngữ,Believe
Chi Bằng Hãy Gặp Nhau…,Chi Bằng Hãy Gặp Nhau Một Lần (Piano) / 不如见一面 (钢琴版) (Single),,,Hải Lai A Mộc / 海来阿木,Hải Lai A Mộc / 海来阿木,Hoa Ngữ,Believe
Quang Hải / 光海,Quang Hải / 光海 (EP),,,Hải Lai A Mộc / 海来阿木,左壬鹏,Hoa Ngữ,Believe
Tiếng Trăng Rơi / 月落的声音,Tiếng Trăng Rơi / 月落的声音 (Single),,,Nhất Khỏa Lang Tinh / 一颗狼星,白羽淇,Hoa Ngữ,Believe
Quay Lưng Liền Đau Lòng /…,转身即心痛 (破碎感) (EP),,,凌晨的光,林倩,Hoa Ngữ,Believe
Cá Nhảy Lên Bờ / 魚躍而上…,魚躍而上 (電視劇《與君初相識》自由主題曲) (Single),,,Tát Đỉnh Đỉnh / 薩頂頂,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
Gió Đêm Qua Đường…,过路的晚风 (DJ版) (EP),,,Hải Lai A Mộc / 海来阿木,,Hoa Ngữ,Believe
A Beautiful Smile…,Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,,,金玟岐,Lilien,"Hoa Ngữ, Nhạc Phim",Rock Mobile
"Gió Thoảng Qua, Hát Khúc…","Gió Thoảng Qua, Hát Khúc Hợp Tan (Single) / 风经过，唱离合",,,"婉枫, 张朕",,Hoa Ngữ,Believe
Tái Sinh Thành Kẻ Tha…,Tái Sinh Thành Kẻ Tha Hương Nơi Đất Khách / 重生之我在异乡为异客 (Single),,,"王睿卓, Damn5z","Damn5z, 拜德盖Viigho",Hoa Ngữ,Believe
Bài Hát Do Thần Linh Viết…,被神明写的歌 (EP),,,K.D,韩圣,"Hoa Ngữ, Pop",JSJ MUSIC
Đêm ở Ulan Bator (Bản Cắt…,Đêm ở Ulan Bator (Bản Cắt Ngắn) / 乌兰巴托的夜 (丹正母子剪辑版),,,Đan Chính Mẫu Tử / 丹正母子,昔日布道尔吉,Hoa Ngữ,Believe
You R,You R (Single),,,Triệu Lộ Tư / 赵露思,"Han Kyung-soo, Choi Soo Ji",Hoa Ngữ,Believe
偏向 (0.8x),偏向 (0.8x) (Single),,,陈子晴,音融三喜,Hoa Ngữ,Believe
Câu Thơ Nhỏ (Đại Mộng…,Câu Thơ Nhỏ (Đại Mộng Quy Ly OST) / 小诗句（《大梦归离》影视剧片尾曲）,,,"侯明昊, 陈都灵, 田嘉瑞, Trình Tiêu / 程潇, 林子烨",任帅,Hoa Ngữ,JSJ MUSIC
Phonecert（オルゴール）,Phonecert（オルゴール） (Single),,,Orgel Sound J-Pop,"Kwon Jeong Yeol, YUN CHEOL JONG",Nhật Bản,FUGA
WOKE UP,WOKE UP (Single),,,XG,"Chancellor, Jakops, Shintaro Yasuda","Nhật Bản, Rap / Hip Hop",FUGA
森の小さな美術館,Various Music Collection Vol.90 -Selected & Music-Published by Audiostock-,,,Sound Bank,Sound Bank,Nhật Bản,FUGA
Supernatural,Supernatural (EP),,,NewJeans,"Ylva Dimberg, Pharrell Williams, 250",Nhật Bản,Ingrooves Music Group
lemon,2019cover (Single),,,yurisa,,"Nhật Bản, Pop / Ballad",RouteNote
SOMETHING AIN'T RIGHT,SOMETHING AIN'T RIGHT (Single),,,XG,"Jakops, Chancellor, Benjmn, Feli Ferraro, Akil ""worldwidefresh"" King","Nhật Bản, Pop / Ballad, R&B",FUGA
Fukashigi no Carte,Fukashigi no Carte (Single),,,Bunny Girl,,"Nhật Bản, Nhạc Phim",RouteNote
Akuma no Ko,Tatakae (EP),,,Nordex,Ai Higuchi,"Nhật Bản, Nhạc Phim",Ingrooves Music Group
Right Now,Supernatural (EP),,,NewJeans,"LOLO ZOUAI, FRNK",Nhật Bản,Ingrooves Music Group
HOWLING,AWE,,,XG,"Chancellor, Jakops, Knave, JAEYOUNG, Lyricks","Nhật Bản, Pop / Ballad, R&B",FUGA
Yoru ni Kakeru feat.Kopi,Collection ４,,,"Kobasolo, Köpi",Ayase,"Nhật Bản, Pop / Ballad",FUGA
PUPPET SHOW,NEW DNA (EP),,,XG,"Jakops, Rachel West, Dayday, 220, Lantz","Nhật Bản, Pop / Ballad",FUGA
SAKURA (Sakura Song…,桜ソング〜オルゴールで聴きたいJPOPヒット,,,Wind Echoes,Yoshiki Mizuno,"Nhật Bản, Pop / Ballad",FUGA
GRL GVNG,GRL GVNG (Single),,,XG,"Jakops, Rachel West, Lantz","Nhật Bản, Pop / Ballad",FUGA
UNDEFEATED,UNDEFEATED (Single),,,"VALORANT, XG","Chancellor, Jakops, Shintaro Yasuda, DaviDior, Benjmn","Nhật Bản, Rap / Hip Hop",FUGA
IYKYK,IYKYK (Single),,,XG,"Chancellor, Jakops, Knave, Paulina ""PAU"" Cerrilla, Nick Kandler","Nhật Bản, Pop / Ballad, R&B",FUGA
This Game,No Game No Life (Single),,,Konomi Suzuki,,"Nhật Bản, Nhạc Phim",RouteNote
moshi moshi,la valigia,,,Yoshino Aoyama,Kohei Miyahara,"Nhật Bản, Pop / Ballad",FUGA
uchiage hanabi,2019cover (Single),,,yurisa,,"Nhật Bản, Pop / Ballad",RouteNote
NEW DANCE,NEW DNA (EP),,,XG,"Jakops, Chalra Warmley, Sherwood BrownJr., Theron Thomas, Chancellor","Nhật Bản, Pop / Ballad",FUGA
After Rain,After Rain (Single),,,3House,GooDee,"Nhật Bản, R&B",FUGA
アイドル,アイドル (Single),,,YOASOBI,Ayase,Nhật Bản,The Orchard
Utaeba Soko ni Kimi ga Iru…,Utaeba Soko ni Kimi ga Iru kara (Single),,,Konomi Suzuki,,"Nhật Bản, Nhạc Phim",RouteNote
Blue Bird,Blue Bird (Single),,,Alf,,"Nhật Bản, Pop / Ballad",RouteNote
The Legend of Ashitaka…,A Symphonic Celebration - Music from the Studio Ghibli Films of Hayao Miyazaki,,,"Joe Hisaishi, Royal Philharmonic Orchestra",Joe Hisaishi,Nhật Bản,Universal Music Group
MASCARA,MASCARA (Single),,,XG,"Aleesia, Hwaji, Jakops, WUTAN, Caesar & Loui","Nhật Bản, Pop / Ballad",FUGA
TGIF,NEW DNA (EP),,,XG,"Jakops, Aleesia Stamkos, Lantz, Dayday, 220","Nhật Bản, Pop / Ballad",FUGA
The Rumbling,Tatakae (EP),,,Nordex,Linked Horizon,"Nhật Bản, Nhạc Phim",Ingrooves Music Group
紅蓮華,紅蓮華 (Single),,,Akuya,,"Nhật Bản, Nhạc Phim",RouteNote
僕らの季節,KIZUNA (Special Edition),,,JO1,"YOSKE, Minyoung Lee(EastWest), Yeul(1by1)",Nhật Bản,Ingrooves Music Group
No one knows…,あんさんぶるスターズ！！アルバムシリーズ 『TRIP』 UNDEAD (Instrumental),,,UNDEAD,山本 恭平,"Nhật Bản, Nhạc Phim",Ingrooves Music Group
Akuma no Ko from Attack…,Relaxing Jazz Piano 13 (New Generation) (EP),,,World Relaxation Project,ヒグチアイ,Nhật Bản,Ingrooves Music Group
勇者 (Piano Ver.),J-POP BEST HITS by Piano Echoes Vol.4,,,Piano Echoes,Ayase,"Nhật Bản, Pop / Ballad",FUGA
Dearest Inuyasha,,,,,,,
Renai circulation feat.Nagi…,Collection ４,,,"Kobasolo, Nagi Fujisaki",Satoru Kousaki,"Nhật Bản, Pop / Ballad",FUGA
IS THIS LOVE,AWE,,,XG,"Jakops, Bianca ‘Blush’ Atterberry, Chancellor, Knave, Mychole “Starr” Anderson","Nhật Bản, Pop / Ballad, R&B",FUGA
nandemonaiya,2019cover (Single),,,yurisa,,"Nhật Bản, Pop / Ballad",RouteNote
Sincerely,Sincerely (Single),,,Akuya,,"Nhật Bản, Nhạc Phim",RouteNote
WINTER WITHOUT YOU,WINTER WITHOUT YOU (Single),,,XG,"Chancellor, Jakops, Shintaro Yasuda, David Park","Nhật Bản, R&B",FUGA
Tot Musica「ONE PIECE…,,,,,,,
There is a Reason,No Game No Life (Single),,,Konomi Suzuki,,"Nhật Bản, Nhạc Phim",RouteNote
X-GENE,NEW DNA (EP),,,XG,"Jakops, Chancellor, Knave","Nhật Bản, Pop / Ballad",FUGA
CHASING PARADISE,PRETTY LIES (EP),,,MIKA米卡,"Mikah, Will Jay, Wes Singerman, Taylor Dexter","Nhật Bản, Pop / Ballad",FUGA
貴方の恋人になりたい,するどいささくれ,,,チョーキューメイ,麗,Nhật Bản,Ingrooves Music Group
Tippy Toes,Tippy Toes (Single),,,"Jakops, 220, WUTAN, XG",,"Nhật Bản, Pop / Ballad",FUGA
Time Back,Connected,,,Skunk,Skunk,"Nhật Bản, Pop / Ballad",FUGA
Be The One,Be The One (Single),,,Alf,,"Nhật Bản, Nhạc Phim",RouteNote
Where Our Blue Is,Where Our Blue Is (Single),,,Tatsuya Kitani,Tatsuya Kitani,"Nhật Bản, Rock",Sony Music Entertainment
美女と野獣（『美女と野獣』…,癒されるディズニー・ピアノ,,,Piano Echoes,Alan Menken,"Nhật Bản, Nhạc Phim",FUGA
シカ色デイズ,シカ色デイズ (Single),,,"Noko Shikanoko (CV: Megumi Han), Torako Koshi (CV: Saki Fujita), Anko Koshi (CV: Rui Tanabe), Meme Bashame (CV: Fuka Izumi)",Yuki Waga,"Nhật Bản, Pop / Ballad, Nhạc Phim",FUGA
LEFT RIGHT REMIXX (FEAT.…,,,,"XG, Ciara, Jackson Wang","Chancellor, Jakops, Knave, J.Lauryn","Nhật Bản, R&B",FUGA
MoeChakkaFire,MoeChakkaFire (Single),,,Issey,Issey,"Nhật Bản, Rock",FUGA
言の刃,言の刃 (Single),,,Rokudenashi,一二三,Nhật Bản,Ingrooves Music Group
shinse no aria,shinse no aria (Single),,,yurisa,,"Nhật Bản, Nhạc Phim",RouteNote
We'll Be Alright Orchestra,Weathering With You Orchestra (Single),,,Akuya,,Nhật Bản,RouteNote
